address,suburb,price,bedrooms,bathrooms,car_garage,sqft_lot,sqft_living,year_built,date_sold,zipcode,latitude,longitude
10 Bilya Avenue,Mardella,679000,4,2,2.0,3909,211,2002.0,01/2008,6125,-32.30841,115.98466
10 Binar Court,South Guildford,400000,4,2,2.0,787,146,1996.0,02/2017,6055,-31.9154,115.98797
10 Binden Place,Hamersley,510000,4,2,1.0,737,82,1972.0,12/2016,6022,-31.85102,115.80516
10 Bingarra Close,Port Kennedy,390000,4,2,,691,145,1994.0,12/2019,6172,-32.3633,115.75393
10 Bingfield Road,Medina,265000,3,1,2.0,728,90,1965.0,07/2014,6167,-32.23091,115.80013
10 Binnia Mews,Harrisdale,430000,3,2,2.0,451,145,2008.0,12/2019,6112,-32.11528769,115.9168464
10 Birch Place,Stoneville,560000,4,2,2.0,1843,181,1989.0,08/2020,6081,-31.8732931,116.1631578
10 Birchgrove Court,Bibra Lake,585000,4,2,2.0,502,201,2001.0,03/2020,6163,-32.09309,115.812581
10 Birkenhead Ridge,Mindarie,835000,4,3,,738,306,2005.0,03/2020,6030,-31.68365,115.70563
10 Bishop Close,Seville Grove,367000,4,2,2.0,514,145,,10/2020,6112,-32.14377,115.99213
10 Bishop Riley Way,Churchlands,1850000,5,3,2.0,737,370,2003.0,04/2018,6018,-31.91462,115.79849
10 Blackboy Road,Greenmount,490000,4,2,4.0,903,157,1989.0,11/2017,6056,-31.89414279,116.0423273
10 Blackman Road,Mount Pleasant,1475000,4,3,2.0,729,346,1955.0,03/2019,6153,-32.0339,115.84557
10 Bland Street,Kensington,1250000,3,2,2.0,787,210,1957.0,08/2019,6151,-31.98684,115.87738
10 Blenny Close,Cannington,476000,3,1,2.0,697,125,1980.0,05/2017,6107,-32.00823,115.92839
10 Block Place,Ocean Reef,1000000,5,3,3.0,890,294,1991.0,03/2018,6027,-31.76047,115.73436
10 Bondini Way,Bibra Lake,522000,4,2,2.0,719,169,1979.0,03/2018,6163,-32.08923,115.8452
10 Booligal Street,Lesmurdie,425000,3,1,,1195,79,1978.0,05/2017,6076,-32.00325,116.05748
10 Bosbaan Place,Champion Lakes,196000,4,2,2.0,451,180,2013.0,09/2012,6111,-32.11842915,115.9910315
10 Bowen Place,Stoneville,520000,4,2,4.0,1955,122,1989.0,04/2015,6081,-31.87084,116.16967
10 Boyd Street,Palmyra,535000,4,1,6.0,518,82,,12/2018,6157,-32.03721162,115.7928177
10 Bradbury Place,Alexander Heights,331500,3,1,2.0,403,109,1994.0,07/2019,6064,-31.83365836,115.855598
10 Braden Way,Marmion,1620000,5,3,3.0,720,339,2009.0,04/2012,6020,-31.84084,115.75482
10 Brae Court,Cooloongup,330000,4,1,2.0,933,148,1989.0,12/2020,6168,-32.28796,115.76467
10 Bramley Terrace,The Vines,555000,4,2,2.0,714,209,2007.0,09/2019,6069,-31.74862473,116.0154965
10 Brantwood Turn,Wellard,396000,4,2,2.0,449,134,2014.0,03/2018,6170,-32.27244793,115.8251769
10 Brassey Street,Swanbourne,1810000,4,2,2.0,607,255,1996.0,05/2016,6010,-31.97735,115.76905
10 Breton Court,Ballajura,421000,4,2,2.0,504,149,1995.0,10/2020,6066,-31.85241,115.90676
10 Bricknell Road,Attadale,830000,3,1,2.0,1410,124,1952.0,09/2018,6156,-32.03012399,115.8065635
10 Bridal Crescent,Kenwick,330000,3,1,2.0,6157,98,2004.0,06/2016,6107,-32.04135665,115.9751466
10 Bridges Rise,Kiara,390000,4,2,1.0,484,150,1994.0,04/2011,6054,-31.88398,115.94402
10 Bridget Place,Shelley,1600000,4,2,2.0,1029,300,2002.0,06/2016,6148,-32.0312,115.88066
10 Brigalow Way,Armadale,220000,3,1,2.0,713,106,1972.0,02/2020,6112,-32.14575785,115.9968621
10 Brinckley Crescent,Koondoola,362000,4,2,1.0,692,120,1976.0,06/2018,6064,-31.84684,115.86353
10 Bristow Street,Haynes,167000,3,2,2.0,340,151,2015.0,02/2014,6112,-32.15943529,115.9888948
10 Broad Street,Kensington,1390000,4,2,3.0,420,298,2006.0,03/2015,6151,-31.98547,115.8791
10 Broadbeach Boulevard,Hillarys,955000,4,2,,828,226,1990.0,05/2019,6025,-31.79938,115.73726
10 Brolga Court,Beeliar,570000,4,2,3.0,639,245,2007.0,10/2018,6164,-32.135481,115.812451
10 Broomhall Way,Noranda,635000,4,2,2.0,809,150,1976.0,11/2017,6062,-31.87892,115.88128
10 Brumby Avenue,Henley Brook,507500,4,2,2.0,528,150,2002.0,08/2014,6055,-31.79678,115.97494
10 Bruns Drive,Darling Downs,785000,4,2,2.0,4186,261,2003.0,01/2017,6122,-32.18767425,116.0106203
10 Bruny Meander,Wandi,850000,4,2,2.0,532,254,,02/2015,6167,-32.19080138,115.8633221
10 Bungalow Court,Peppermint Grove,2400000,4,5,4.0,444,420,2012.0,04/2007,6011,-32.00224362,115.7683182
10 Burleigh Drive,Burns Beach,860000,4,2,2.0,576,243,2012.0,04/2017,6028,-31.72204212,115.7295584
10 Burnettia Lane,Mount Claremont,1100000,3,2,,318,247,2001.0,10/2019,6010,-31.96881,115.79387
10 Burtonia Place,Canning Vale,680000,4,2,2.0,770,224,1992.0,06/2020,6155,-32.07801,115.91601
10 BUTCHART TURN,Aubin Grove,740000,4,2,2.0,660,280,2007.0,07/2016,6164,-32.17005597,115.8665007
10 Byfield Road,Parkerville,382000,3,1,1.0,1008,103,1955.0,11/2016,6081,-31.87808,116.1375
10 Cadoux Loop,Hocking,470000,4,2,6.0,864,224,2005.0,11/2018,6065,-31.76724,115.81796
10 Caduceus Way,Hilbert,730000,4,2,3.0,2516,256,2009.0,03/2016,6112,-32.17905269,115.9855213
10 Calabar Court,Merriwa,367000,4,2,1.0,588,138,1990.0,03/2016,6030,-31.66781,115.71057
10 Cale Court,Maddington,375000,3,2,3.0,510,126,2001.0,12/2017,6109,-32.0452898,116.0035196
10 Calgary Place,Kingsley,481000,3,1,2.0,608,130,1993.0,09/2019,6026,-31.80335,115.79329
10 Calume Street,Hillman,310000,4,1,1.0,701,161,1973.0,05/2017,6168,-32.281,115.76014
10 Campbell Court,Noranda,651000,4,2,2.0,867,227,1985.0,03/2019,6062,-31.87846,115.90824
10 Campion Crescent,Attadale,1065000,4,2,2.0,771,170,,07/2020,6156,-32.02904,115.80285
10 Campolino Gardens,Stratton,360000,4,2,4.0,759,137,,02/2017,6056,-31.86684,116.04713
10 Camrose Lane,Darch,531000,4,2,,549,217,2007.0,04/2019,6065,-31.814125,115.85166
10 Cantrell Circuit,Landsdale,645000,4,2,2.0,710,280,1998.0,12/2018,6065,-31.80196,115.8607
10 Cape Gardens,Ellenbrook,550000,5,2,2.0,651,193,,12/2020,6069,-31.75453542,115.9834358
10 Cape Le Grand Avenue,Aubin Grove,705000,4,2,6.0,713,237,2006.0,04/2016,6164,-32.16425,115.86205
10 Carnforth Road,Butler,355500,4,2,2.0,540,194,2004.0,09/2020,6036,-31.64565619,115.7128799
10 Carrick Way,Kinross,442500,4,2,2.0,914,201,1983.0,10/2019,6028,-31.71878114,115.7395043
10 Cassidae Terrace,Karrinyup,1030000,4,2,2.0,434,204,2006.0,09/2020,6018,-31.88435,115.7786
10 Castledene Way,Tapping,500000,4,2,3.0,685,214,,06/2019,6065,-31.71193292,115.8000103
10 Castroreale Boulevard,Sinagra,455000,4,2,2.0,566,224,2005.0,03/2018,6065,-31.73942,115.80313
10 Cathedral Link,Aubin Grove,585000,4,2,2.0,556,234,,12/2018,6164,-32.167431,115.863638
10 Celtic Crescent,Shoalwater,390000,3,2,2.0,459,170,2006.0,05/2018,6169,-32.295295,115.718037
10 Cereza Lane,Caversham,447500,3,2,,400,168,2012.0,11/2020,6055,-31.86442126,115.9669604
10 Cerulean Road,Karnup,179000,3,1,2.0,405,159,2015.0,09/2014,6176,-32.44582454,115.7644814
10 Cestrum Rise,South Lake,550000,4,2,2.0,741,184,1993.0,08/2016,6164,-32.10217,115.84692
10 Chalk Elbow,Pearsall,570000,4,2,2.0,612,243,,10/2015,6065,-31.77808538,115.8182368
10 Champagne Terrace,The Vines,780000,5,2,4.0,4306,225,1991.0,12/2017,6069,-31.75794,116.01467
10 Charles Street,South Fremantle,1600000,4,2,3.0,526,191,1900.0,09/2015,6162,-32.06614,115.75361
10 Chauvel Court,Kiara,430000,4,2,2.0,501,134,1995.0,12/2012,6054,-31.88459,115.94288
10 Chelmorton Loop,Carine,770000,4,2,2.0,706,161,,11/2016,6020,-31.85329,115.77289
10 Chelmsford Road,Mount Lawley,845000,3,1,1.0,309,131,1920.0,08/2020,6050,-31.93544269,115.8704109
10 Chenile Mews,Mirrabooka,100000,4,1,,684,104,1988.0,01/2016,6061,-31.86195059,115.8654238
10 Chervil Bend,Wattle Grove,560000,4,2,2.0,599,207,2012.0,11/2017,6107,-32.00024008,115.9786658
10 Chesapeake Parade,Port Kennedy,480000,4,2,2.0,754,190,2001.0,11/2019,6172,-32.37457,115.74781
10 Chesterfield Avenue,Hocking,460000,3,2,2.0,296,130,2006.0,10/2017,6065,-31.76820029,115.8211703
10 Chestnut Street,Guildford,780000,3,2,2.0,527,164,1997.0,02/2015,6055,-31.89824101,115.9826781
10 Chile Way,Aubin Grove,555000,4,2,2.0,460,190,2013.0,03/2019,6164,-32.17034822,115.8602413
10 Chinook Drive,Dayton,475000,4,2,2.0,375,183,2013.0,05/2016,6055,-31.85412923,115.9724794
10 Chiswick Street,Wembley Downs,1025000,4,2,2.0,787,199,1958.0,08/2018,6019,-31.91961,115.77247
10 Chittawarra Court,Glen Forrest,567000,4,1,,1901,201,1993.0,09/2019,6071,-31.90263,116.09397
10 Chivrell Rise,Gwelup,920000,4,2,2.0,716,240,1994.0,12/2017,6018,-31.85967,115.79844
10 Choseley Place,Langford,160000,4,1,1.0,612,103,1989.0,07/2015,6147,-32.04214,115.94105
10 Christina Street,Hazelmere,600000,4,3,2.0,2027,200,1956.0,01/2013,6055,-31.90056,115.99444
10 Christmas Avenue,Heathridge,453500,4,2,2.0,688,127,1986.0,06/2017,6027,-31.7578,115.75153
10 Churchman Brook Road,Bedfordale,650000,3,1,2.0,39837,125,,08/2020,6112,-32.14484,116.07006
10 Churton Crescent,Warwick,610000,3,1,4.0,730,89,1970.0,12/2016,6024,-31.84377,115.80643
10 Citriadora Avenue,High Wycombe,575000,4,2,2.0,635,254,2005.0,03/2020,6057,-31.9351915,116.0161732
10 Claiborne Road,Secret Harbour,470000,4,2,2.0,584,285,2005.0,07/2019,6173,-32.40964864,115.7713844
10 Classroom Loop,Coolbellup,510000,4,2,2.0,375,184,2014.0,09/2019,6163,-32.08174536,115.8156624
10 Clayden Street,Wooroloo,358000,4,1,1.0,2427,166,1981.0,10/2009,6558,-31.80247,116.31128
10 Clearview Avenue,Burns Beach,1500000,5,4,8.0,610,500,2011.0,04/2016,6028,-31.726999,115.719527
10 CLEMTON PLACE,Landsdale,520000,4,2,2.0,650,270,1999.0,08/2019,6065,-31.80308,115.85827
10 Cleopatra Circuit,Bertram,410000,4,2,2.0,612,148,2005.0,10/2020,6167,-32.25330798,115.8438598
10 Clifton Street,Kelmscott,290000,3,1,,809,110,1974.0,10/2020,6111,-32.10738455,116.0190336
10 Clint Way,Calista,228500,3,1,1.0,654,91,,08/2020,6167,-32.2426,115.80325
10 Clyde Road,Menora,1350000,4,2,2.0,759,255,1935.0,02/2006,6050,-31.92041,115.8592
10 Clydesdale Street,Alfred Cove,855000,4,2,2.0,1095,189,1994.0,11/2017,6154,-32.03257,115.81986
10 Coatelan Drive,Stirling,925000,5,3,8.0,769,302,1980.0,09/2018,6021,-31.89385,115.81252
10 Coleridge Place,North Lake,700000,4,3,2.0,735,293,1996.0,07/2008,6163,-32.08231,115.81972
10 College Road,Claremont,1200000,3,1,2.0,326,196,,09/2020,6010,-31.97475,115.79061
10 Colne Way,Girrawheen,385000,3,1,2.0,771,120,1973.0,07/2016,6064,-31.8467,115.84242
10 Cologne Gardens,Port Kennedy,379000,4,2,2.0,645,206,,09/2020,6172,-32.36923,115.74696
10 Columba Place,Peppermint Grove,1920000,5,3,2.0,704,390,1976.0,03/2016,6011,-32.00272,115.76237
10 Como Way,Stirling,1240000,4,3,3.0,491,481,2008.0,01/2020,6021,-31.89153039,115.8180188
10 Congdon Way,Booragoon,750000,4,2,2.0,812,197,1981.0,09/2017,6154,-32.04568,115.83038
10 Conimbla Lane,Aubin Grove,660000,4,4,3.0,654,251,2007.0,02/2018,6164,-32.166721,115.863079
10 Coniston Bend,Waikiki,530000,3,2,3.0,523,205,2011.0,10/2019,6169,-32.32137192,115.7589121
10 Coniston Drive,Ellenbrook,325000,4,2,2.0,384,143,2006.0,12/2020,6069,-31.770552,115.971079
10 Connelly Place,Mount Helena,565000,4,2,2.0,2001,226,2009.0,06/2016,6082,-31.86496116,116.2187879
10 Conrad Way,Currambine,597000,5,2,2.0,719,237,2002.0,04/2019,6028,-31.73359,115.75236
10 Continental Boulevard,Currambine,760000,4,2,2.0,588,284,2003.0,11/2016,6028,-31.73160661,115.7465819
10 Coogan Close,Yangebup,400000,3,1,2.0,730,135,1987.0,09/2020,6164,-32.12407,115.81538
10 Coolibah Drive,Greenwood,476500,3,1,1.0,683,128,1970.0,05/2018,6024,-31.83296,115.80199
10 Copper Lane,Wattle Grove,500000,4,2,2.0,556,139,2004.0,08/2016,6107,-31.991871,115.9853869
10 Coralgum Green,South Lake,568000,4,2,2.0,613,223,2009.0,07/2016,6164,-32.11381513,115.8432847
10 Corella Street,Lesmurdie,505000,3,1,3.0,1012,91,1969.0,05/2016,6076,-32.00274,116.05497
10 Cornell Place,East Cannington,600000,5,2,2.0,610,225,2004.0,10/2017,6107,-32.00555746,115.9618398
10 Correa Way,Mirrabooka,365000,3,1,4.0,690,90,1987.0,02/2017,6061,-31.85792356,115.8606111
10 Corrour Bend,Bertram,245000,3,2,1.0,301,105,2012.0,06/2019,6167,-32.23866083,115.8439947
10 Cottontree Lane,Bennett Springs,570000,4,2,2.0,597,236,2008.0,09/2015,6063,-31.85826619,115.9282404
10 Coulsen Close,Noranda,675000,4,2,2.0,676,170,1995.0,09/2017,6062,-31.87092,115.88559
10 Cowper Street,Lynwood,448000,3,1,2.0,688,119,1974.0,11/2016,6147,-32.04574,115.92519
10 Coyne Street,Mount Helena,355000,4,2,2.0,2023,224,2016.0,09/2014,6082,-31.87661547,116.212734
10 Crab Cove,Mindarie,570000,3,2,2.0,380,163,1994.0,08/2020,6030,-31.69011,115.70657
10 Crake Street,Ascot,730000,3,2,2.0,367,132,2002.0,06/2019,6104,-31.93605,115.91608
10 Cranberry Way,Kenwick,316500,3,1,1.0,568,109,1994.0,07/2016,6107,-32.03335,115.99283
10 Cranford Avenue,Mount Pleasant,750000,3,2,2.0,456,153,1996.0,01/2018,6153,-32.04069,115.85668
10 Cranwell Road,Balcatta,880000,2,1,,788,343,1964.0,10/2019,6021,-31.87493,115.82317
10 Craven Street,Bedford,615750,3,1,6.0,589,120,1978.0,07/2018,6052,-31.90864,115.88817
10 Cresswell Place,Quinns Rocks,450000,4,2,2.0,585,123,1995.0,12/2019,6030,-31.6643,115.7052
10 Creswick Cross,Kiara,168000,4,2,2.0,525,125,1993.0,09/2007,6054,-31.88135,115.93632
10 Crossway,Swan View,295000,3,1,1.0,709,94,1981.0,09/2018,6056,-31.87819,116.03692
10 Crystal Turn,Bennett Springs,435000,4,2,2.0,544,153,2002.0,08/2016,6063,-31.86055183,115.9393654
10 Crystalview Cove,Ballajura,685000,4,2,2.0,1035,219,1990.0,03/2019,6066,-31.83949,115.88668
10 Currawong Court,Bennett Springs,535000,4,2,2.0,621,185,2000.0,06/2016,6063,-31.85860155,115.9448724
10 Currawong Crescent,Walliston,510000,4,1,1.0,1813,140,1972.0,11/2013,6076,-31.99178,116.06921
10 Curruthers Road,Mount Pleasant,830000,3,2,2.0,433,152,1996.0,01/2019,6153,-32.03678729,115.8541122
10 Curtin Road,Marangaroo,426000,4,2,6.0,510,120,1996.0,10/2017,6064,-31.82254,115.83908
10 Dacelo Vista,Waterford,559900,4,2,2.0,450,255,2013.0,08/2011,6152,-32.01411569,115.8949036
10 Daly Circle,Langford,550000,4,2,2.0,500,211,2003.0,08/2015,6147,-32.03543,115.93609
10 Dan Close,Walliston,205000,4,2,2.0,4003,256,,01/2004,6076,-32.00265,116.07006
10 Dane Court,Brookdale,345000,4,2,3.0,504,132,1997.0,06/2015,6112,-32.16819,116.00911
10 Daniels Place,Bertram,394000,4,2,2.0,566,223,2006.0,11/2020,6167,-32.2513906,115.8381918
10 Darling Range Drive,Bedfordale,715000,4,2,6.0,3900,218,2002.0,06/2014,6112,-32.15377,116.06536
10 Darrowby Place,Sawyers Valley,597000,4,2,1.0,1836,179,1988.0,04/2014,6074,-31.90516,116.20614
10 Dartmouth Avenue,City Beach,1685000,4,2,2.0,607,170,1955.0,03/2016,6015,-31.94518,115.75797
10 Darwinia Court,Jarrahdale,590000,3,2,2.0,4000,160,2007.0,06/2013,6124,-32.33833484,116.0517661
10 DAVID STREET,Kensington,820000,3,1,1.0,506,97,1950.0,05/2018,6151,-31.98801,115.87496
10 Daviesia Corner,Dayton,500000,4,2,2.0,476,195,2012.0,08/2015,6055,-31.85640114,115.9702404
10 Davilak Crescent,Manning,1080000,4,2,2.0,911,225,2012.0,07/2019,6152,-32.00953113,115.8652855
10 Dawn Road,Walliston,445000,3,1,1.0,994,107,,09/2012,6076,-31.99375,116.06933
10 De Grey Retreat,Jane Brook,605000,4,2,2.0,753,234,2002.0,01/2015,6056,-31.85923,116.04369
10 Dean Street,Mount Helena,446000,3,1,1.0,1370,112,1981.0,11/2017,6082,-31.8845,116.21382
10 Denver Avenue,Madeley,690000,4,2,2.0,1241,435,1990.0,03/2018,6065,-31.80820188,115.8211316
10 Derry Lane,Mosman Park,2070000,4,4,2.0,426,377,2007.0,06/2017,6012,-32.02211,115.7594
10 Desertpea Road,Beeliar,503000,3,2,2.0,384,161,2014.0,10/2019,6164,-32.12791183,115.7908552
10 Deverall Square,Hillarys,880000,4,2,2.0,600,259,1998.0,12/2019,6025,-31.8008,115.74155
10 Dillwynia Bend,Banksia Grove,430000,4,2,2.0,465,186,,05/2019,6031,-31.69416322,115.7949977
10 Direction Way,North Fremantle,1700000,3,3,2.0,259,165,1996.0,11/2017,6159,-32.031315,115.759115
10 Doherty Road,Coolbellup,599000,4,2,2.0,1011,158,,09/2016,6163,-32.07785,115.81544
10 Domain Court,Greenmount,410000,4,1,1.0,709,132,1989.0,06/2020,6056,-31.89651853,116.0394502
10 Domeney Place,Landsdale,455000,4,2,2.0,600,161,2000.0,02/2020,6065,-31.80282,115.85833
10 Donnelly Link,Jane Brook,545000,3,2,2.0,694,210,2003.0,08/2018,6056,-31.859652,116.051684
10 Doriemus Road,Baldivis,692500,3,3,,609,269,2015.0,10/2020,6171,-32.33901884,115.8181152
10 Dorney Esplanade,Champion Lakes,250000,4,2,2.0,413,170,2015.0,03/2014,6111,-32.11350433,115.9932837
10 Dowlan Way,Ellenbrook,385000,4,2,4.0,552,184,2008.0,10/2019,6069,-31.763571,115.972116
10 Drummore Elbow,Stratton,295000,4,2,1.0,537,140,,10/2019,6056,-31.86517,116.0363
10 Dublin Road,Darch,570000,4,2,2.0,576,192,2006.0,11/2016,6065,-31.80664726,115.8376134
10 Duff Place,Booragoon,860000,4,3,2.0,696,206,1975.0,11/2017,6154,-32.04466,115.83797
10 Dumsday Drive,Forrestdale,275000,4,2,2.0,794,234,,08/2013,6112,-32.14837046,115.9380166
10 Dunmore Crescent,Harrisdale,532500,4,2,4.0,375,239,,04/2019,6112,-32.1252829,115.931659
10 Durrington Glade,Clarkson,375000,4,2,2.0,564,137,,08/2018,6030,-31.68258,115.71989
10 Dusenberg Mews,Atwell,572500,4,2,3.0,768,176,1995.0,08/2018,6164,-32.13644,115.86404
10 Duyfken Road,Jindalee,384000,3,2,2.0,270,140,2009.0,12/2016,6036,-31.65093472,115.6962853
10 Eastbourne Street,Mosman Park,1317500,4,2,2.0,516,191,1920.0,01/2019,6012,-32.0117,115.75914
10 Edmund Way,Calista,250000,3,1,,809,106,1965.0,02/2018,6167,-32.25057,115.80413
10 Eildon Court,South Lake,472000,5,2,2.0,700,183,1989.0,05/2017,6164,-32.10587,115.84552
10 Elbury Court,Kingsley,507000,3,1,3.0,700,146,1980.0,09/2019,6026,-31.81338,115.79504
10 Elder Way,Bellevue,435000,3,1,6.0,700,120,1982.0,07/2016,6056,-31.90449933,116.0357307
10 Eldon Close,Merriwa,380000,4,2,2.0,623,135,1993.0,04/2015,6030,-31.66686,115.71322
10 Ellerby Way,Koondoola,435000,2,1,1.0,771,140,1976.0,02/2015,6064,-31.84322,115.85667
10 Emperor Approach,Success,550000,4,2,2.0,569,172,2008.0,04/2018,6164,-32.157059,115.849746
10 Emu Court,High Wycombe,365000,4,2,1.0,710,119,1989.0,10/2019,6057,-31.94448,116.0136
10 Ennis Court,Orelia,212000,3,1,2.0,734,95,1965.0,08/2016,6167,-32.23593,115.83208
10 Ensign Dale,Kelmscott,500000,4,2,2.0,651,241,2005.0,06/2020,6111,-32.11119,116.02073
10 Erlon Way,Harrisdale,406500,3,2,4.0,364,143,2011.0,05/2019,6112,-32.13284446,115.9280215
10 Erodium Place,Parkwood,460000,3,1,2.0,710,136,,10/2019,6147,-32.03935,115.91214
10 Essington Street,Huntingdale,405000,4,1,1.0,710,135,1975.0,02/2018,6110,-32.07504,115.96478
10 Ethel Street,Guildford,1160000,5,2,4.0,488,275,1910.0,12/2017,6055,-31.9002933,115.9677292
10 Etna Place,Rossmoyne,1895000,4,2,2.0,999,357,2006.0,10/2013,6148,-32.032445,115.871943
10 Ewart Street,Midvale,235000,2,1,1.0,526,94,1920.0,09/2019,6056,-31.89195,116.0223
10 Excelsior Meander,Warnbro,300000,4,2,2.0,540,129,,03/2018,6169,-32.3472,115.76641
10 Eyebright Court,Huntingdale,511250,4,2,4.0,599,151,1999.0,09/2016,6110,-32.08277,115.95622
10 Fagan Street,Yokine,505000,3,1,2.0,374,124,1963.0,10/2018,6060,-31.89408,115.84196
10 Fairview Street,Coogee,870000,4,3,,719,305,1989.0,03/2020,6166,-32.11291,115.76895
10 Fairywren Drive,Bennett Springs,455000,4,2,,457,155,2004.0,03/2017,6063,-31.86018281,115.9318754
10 Falkirk Avenue,Maylands,810000,2,1,,936,100,1915.0,09/2020,6051,-31.93144,115.89922
10 Fantail Avenue,Gwelup,960000,4,2,2.0,519,264,2003.0,05/2018,6018,-31.86588,115.79274
10 Fantail Drive,Bibra Lake,595142,4,2,2.0,702,145,1985.0,08/2016,6163,-32.10349,115.82786
10 Fantail Way,Huntingdale,375000,4,2,1.0,615,128,1994.0,08/2020,6110,-32.08153,115.96379
10 Farrier Terrace,Henley Brook,472000,4,2,2.0,554,214,2003.0,03/2013,6055,-31.79778,115.97653
10 Farringdon Way,Huntingdale,375000,3,1,,685,130,1973.0,11/2017,6110,-32.07327,115.97214
10 Fawn Way,Eglinton,412000,3,2,2.0,313,137,2014.0,06/2015,6034,-31.59707035,115.6646405
10 Feldman Crescent,Parkerville,575000,4,2,,1999,180,1985.0,01/2020,6081,-31.87744,116.14248
10 Field View,Bullsbrook,345000,4,2,2.0,722,200,,06/2019,6084,-31.66255216,116.037313
10 Fielder Road,Serpentine,680000,4,2,2.0,4340,196,2003.0,10/2018,6125,-32.37782,115.97374
10 Finchley Terrace,Joondalup,550000,3,2,2.0,347,164,1998.0,04/2019,6027,-31.73264718,115.7691689
10 Finlay Court,Rivervale,520000,3,2,2.0,350,197,2000.0,01/2019,6103,-31.96498,115.92228
10 Finsbury Grove,Mount Claremont,1525000,4,2,2.0,680,261,1995.0,11/2016,6010,-31.96067,115.77747
10 Fintry Close,Kinross,480000,4,2,2.0,706,165,1992.0,11/2018,6028,-31.72316,115.73401
10 Fionn Court,Ardross,950000,4,2,1.0,728,205,,07/2016,6153,-32.02801,115.84097
10 Firefalls Close,Huntingdale,440000,4,2,2.0,544,113,1994.0,07/2016,6110,-32.08006,115.9578
10 Flannan Place,Warwick,852500,5,3,2.0,734,401,1988.0,11/2017,6024,-31.83734,115.79794
10 Fleetwood Link,Ellenbrook,370000,4,2,2.0,420,155,2007.0,12/2020,6069,-31.76983088,115.9773284
10 Fletcher Street,Applecross,875000,2,1,1.0,464,125,1952.0,02/2019,6153,-32.01734,115.83377
10 Folland Parade,Atwell,430000,4,2,2.0,600,154,,02/2019,6164,-32.13839,115.86928
10 Fortview Road,Mount Claremont,1775000,3,2,6.0,877,238,1960.0,08/2018,6010,-31.96185546,115.7727906
10 Fourth Avenue,Rossmoyne,1423888,3,1,,814,257,1966.0,08/2017,6148,-32.0368,115.87063
10 Frederic Street,Midland,565000,3,1,,1090,155,1915.0,05/2016,6056,-31.88505,116.00288
10 Friarbird Terrace,Beeliar,550000,4,2,2.0,512,181,2006.0,09/2017,6164,-32.13439,115.812822
10 Gaffin Way,Kwinana Town Centre,162100,3,2,,203,103,2015.0,07/2013,6167,-32.24243868,115.8147429
10 Gairloch Place,Joondalup,620000,3,2,1.0,803,215,1990.0,09/2020,6027,-31.72463,115.75871
10 Galahad Way,Carine,645000,4,1,,692,111,1976.0,07/2016,6020,-31.8525809,115.7955692
10 gallipoli street,Lathlain,505000,3,2,2.0,577,115,1939.0,11/2014,6100,-31.97001793,115.9026325
10 Gatton Way,Embleton,470000,3,2,2.0,736,93,1966.0,01/2017,6062,-31.90024568,115.9148559
10 Gausson Turn,Ashby,393000,4,2,2.0,524,154,2003.0,12/2019,6065,-31.7343265,115.7955863
10 Gemini Rise,Ocean Reef,957000,5,2,2.0,824,314,1989.0,05/2017,6027,-31.76899,115.74461
10 Geoff Russell Avenue,Kinross,550000,4,2,2.0,686,214,,12/2018,6028,-31.71668,115.73536
10 Georgetown Drive,Safety Bay,370000,3,1,2.0,681,105,1989.0,04/2018,6169,-32.3023,115.73493
10 Gifford Mews,Currambine,668000,4,2,2.0,701,221,1997.0,05/2017,6028,-31.73906,115.7547
10 Gilbreth Bend,Tapping,535000,4,2,2.0,572,237,2006.0,11/2020,6065,-31.71787806,115.8021496
10 Giles Avenue,Padbury,380000,3,1,1.0,705,124,1976.0,05/2020,6025,-31.80644,115.7576
10 GLADALAN Way,Piara Waters,500000,4,2,4.0,570,192,2015.0,03/2019,6112,-32.14063267,115.9171737
10 Glen Iris Drive,Jandakot,1200000,5,2,2.0,1066,307,1997.0,10/2013,6164,-32.09939,115.85391
10 Glenallen Way,Ellenbrook,360000,4,2,2.0,552,222,2005.0,04/2020,6069,-31.770091,115.972899
10 Glenbawn Drive,South Lake,422500,3,1,1.0,702,101,1984.0,12/2015,6164,-32.10838,115.83447
10 Glencoe Place,Bedfordale,650000,4,2,2.0,3271,197,2011.0,12/2019,6112,-32.16481842,116.0603064
10 Glenfine Way,Carramar,473200,4,2,2.0,678,221,2004.0,08/2019,6031,-31.71128,115.77932
10 Glenten Way,Ferndale,545000,4,2,1.0,688,155,1978.0,09/2020,6148,-32.02996,115.92982
10 Glenwood Avenue,Helena Valley,545000,4,1,1.0,2010,115,1969.0,03/2016,6056,-31.91627,116.04522
10 Godin Court,Churchlands,1650000,5,4,6.0,1225,416,1986.0,10/2017,6018,-31.91965,115.78654
10 Goldfinch Bend,Harrisdale,471000,4,2,2.0,420,220,2010.0,10/2018,6112,-32.12268001,115.9261395
10 Goshawk Place,Huntingdale,385000,4,2,2.0,707,139,1992.0,10/2017,6110,-32.08493,115.9669
10 Grace Pass,Bennett Springs,630000,4,2,2.0,544,231,2006.0,07/2014,6063,-31.858491,115.9314922
10 Granada Loop,Seville Grove,350000,4,2,2.0,660,202,2006.0,08/2017,6112,-32.138617,115.989919
